file,line,snippet
src/hooks/useOutreachWiring.ts,23,await (supabase.from('ai_instinct_log') as any).insert({
src/hooks/useOutreachWiring.ts,32,await (supabase.from('ai_drift_alerts') as any).insert({
src/hooks/useOutreachWiring.ts,40,await (supabase.from('ai_instinct_log') as any).insert({
src/hooks/useOutreachWiring.ts,49,await (supabase.from('ai_instinct_log') as any).insert({
src/hooks/usePaymentPromises.ts,195,.insert({
src/hooks/usePaymentPromises.ts,243,.insert({
src/hooks/usePaymentPromises.ts,293,.insert({
src/hooks/usePaymentPromises.ts,307,.update({
src/hooks/usePaymentPromises.ts,407,await supabase.from('collection_actions').insert(actions);
src/hooks/usePlaybookEngine.ts,397,.insert({
src/hooks/usePortalAudit.ts,36,await supabase.from('portal_audit_log').insert([{
src/hooks/usePortalDevice.ts,121,await supabase.from('portal_security_events').insert({
src/hooks/usePortalSecurityAdmin.ts,176,await supabase.from('portal_security_events').insert({
src/hooks/usePredictionSnapshots.ts,98,.insert({
src/hooks/usePredictionSnapshots.ts,229,.update({
src/hooks/usePredictionSnapshots.ts,257,.update({ success: snapshot.predicted_winner === actualWinner })
src/hooks/useProductionPortal.ts,931,.update({
src/hooks/useProductionPortal.ts,996,.update({ is_locked: false })
src/hooks/useProductionRBAC.ts,101,.insert({
src/hooks/useRouteSuggestions.ts,153,await supabase.from('route_suggestion_stops').insert(stops);
src/hooks/useRouteSuggestions.ts,154,"await supabase.from('route_suggestions').update({ stops_count: stops.length }).eq('id', suggestion.id);"
src/hooks/useRouteSuggestions.ts,177,"await supabase.from('route_suggestions').update({ status: 'applied', suggested_for_biker_id: bikerId }).eq('id', suggest"
src/hooks/useScheduler.ts,107,"await (supabase.from('scheduled_tasks' as any).update(updateData).eq('id', taskId) as any);"
src/hooks/useScheduler.ts,119,"await (supabase.from('scheduled_tasks' as any).update({ run_at: newRunAt.toISOString(), status: 'pending', updated_at: n"
src/hooks/useSellThroughAnalyticsEvents.ts,53,await (supabase as any).from('sell_through_analytics_events').insert({
src/hooks/useShadowMode.ts,429,.insert({
src/hooks/useTerritoryStats.ts,113,await supabase.from('territory_stats_daily').upsert(record);
src/hooks/useTranslation.ts,58,".update({ preferred_language: newLang, updated_at: new Date().toISOString() })"
src/hooks/useTranslation.ts,63,.update({ preferred_language: newLang })
src/hooks/useUTAIDialer.ts,68,await (supabase.from('ut_outreach_logs') as any).insert({
src/hooks/useUTAIDialer.ts,76,await (supabase.from('ut_partner_leads') as any).update({
src/hooks/useUTPartnerLeads.ts,320,await (supabase.from('ut_outreach_logs') as any).insert({
src/hooks/useUTPartnerLeads.ts,327,await (supabase.from('ut_outreach_logs') as any).insert({
src/hooks/useUTPartnerLeads.ts,332,await (supabase.from('ut_partner_leads') as any).update({
src/hooks/useUTPartnerLeads.ts,385,await (supabase.from('ut_outreach_logs') as any).insert({
src/hooks/useUTPartnerLeads.ts,392,"await (supabase.from('ut_partner_onboarding') as any).update({ status: 'sent', sent_at: new Date().toISOString() }).eq('"
src/hooks/useUTPartnerLeads.ts,393,"await (supabase.from('ut_partner_leads') as any).update({ onboarding_link_sent_at: new Date().toISOString(), last_contac"
src/hooks/useUTPartnerLeads.ts,394,"await (supabase.from('ut_outreach_logs') as any).insert({ lead_id: input.lead.id, channel: 'sms', outcome: 'onboarding_l"
src/hooks/useVisitProducts.ts,221,.update({
src/hooks/useVisitProducts.ts,231,.insert({
src/hooks/useVoiceOrchestration.ts,171,.update({ is_multi_party: true })
src/hooks/useVoiceOrchestration.ts,207,".update({ role: ""listener"" })"
src/hooks/useVoiceOrchestration.ts,226,"await supabase.from(""active_speaker_log"").insert({"
src/hooks/useWholesalerIntelligence.ts,467,await supabase.from('entity_audit_log').insert(
src/hooks/useWorkerSubmissions.ts,240,.update({ resulting_output_id: output.id })
src/hooks/useWorkerTaskTimer.ts,244,await supabase.from('labor_anomaly_events' as any).insert({
src/hooks/useWorkerTaskTimer.ts,287,await supabase.from('labor_anomaly_events' as any).insert({
src/lib/dpClient.ts,85,.insert({
src/lib/phase5Engine.ts,96,await supabase.from('phase5_audit_log').insert({
src/lib/phase5Engine.ts,358,await supabase.from('phase5_audit_log').insert([{
src/lib/inventory/applyInventoryMovement.ts,150,await supabase.from('inventory_audit_log').insert({
src/lib/inventory/calculateInventoryInsights.ts,271,let deleteForecasts = supabase.from('inventory_forecasts').delete();
src/lib/inventory/calculateInventoryInsights.ts,272,let deleteFlags = supabase.from('inventory_risk_flags').delete();
src/lib/inventory/calculateReorderSuggestions.ts,198,await supabase.from('purchase_order_items').insert(lineItems);
src/lib/shipping/printLabel.ts,30,await (supabase as any).from('audit_logs').insert({
src/pages/BatchImport.tsx,206,await supabase.from('data_import_mapping').insert(
src/pages/CRMDataExport.tsx,162,.update({
src/pages/CRMDataImport.tsx,182,.update({
src/pages/ExecutiveReports.tsx,100,.update({ is_read: true })
src/pages/HR.tsx,167,.update({ read: true })
src/pages/HRApplicantDetail.tsx,118,"await supabase.from(""hr_onboarding_tasks"").insert({"
src/pages/HRApplicants.tsx,89,"await supabase.from(""hr_applicants"").update({ status: ""approved"" }).eq(""id"", applicantId);"
